,ticker,name
803,EZA,ISHARES INC
804,EWH,ISHARES INC
805,ERUS,ISHARES INC
806,EWM,ISHARES INC
807,EWJ,ISHARES INC
808,EMGF,ISHARES INC
809,GSG,ISHARES S&P GSCI COMMODITY-
810,USIG,ISHARES TR
811,JKE,ISHARES TR
812,JKD,ISHARES TR
813,DVY,ISHARES TR
814,IXP,ISHARES TR
815,IXJ,ISHARES TR
816,IXG,ISHARES TR
817,IGE,ISHARES TR
818,JPXN,ISHARES TR
819,IVE,ISHARES TR
820,ICF,ISHARES TR
821,IOO,ISHARES TR
822,IWD,ISHARES TR
823,IWN,ISHARES TR
824,IUSV,ISHARES TR
825,IYH,ISHARES TR
826,IYG,ISHARES TR
827,IYF,ISHARES TR
828,IYY,ISHARES TR
829,IJS,ISHARES TR
830,AGZ,ISHARES TR
831,TOK,ISHARES TR
832,IGF,ISHARES TR
833,AIA,ISHARES TR
834,IDV,ISHARES TR
835,IFGL,ISHARES TR
836,USRT,ISHARES TR
837,DSI,ISHARES TR
838,GVI,ISHARES TR
839,SHV,ISHARES TR
840,MXI,ISHARES TR
841,JKL,ISHARES TR
842,JXI,ISHARES TR
843,EXI,ISHARES TR
844,KXI,ISHARES TR
845,RXI,ISHARES TR
846,SUSA,ISHARES TR
847,IHI,ISHARES TR
848,EFV,ISHARES TR
849,EFG,ISHARES TR
850,IWX,ISHARES TR
851,IWL,ISHARES TR
852,ILTB,ISHARES TR
853,IGLB,ISHARES TR
854,INDY,ISHARES TR
855,AOK,ISHARES TR
856,GOVT,ISHARES TR
857,QLTA,ISHARES TR
858,CMBS,ISHARES TR
859,INDA,ISHARES TR
860,SMIN,ISHARES TR
861,EFAV,ISHARES TR
862,USMV,ISHARES TR
863,QUAL,ISHARES TR
864,SIZE,ISHARES TR
865,VLUE,ISHARES TR
866,IYLD,ISHARES TR
867,IBCE,ISHARES TR
868,INTF,ISHARES TR
869,LRGF,ISHARES TR
870,SMLF,ISHARES TR
871,IMTM,ISHARES TR
872,IQLT,ISHARES TR
873,CRBN,ISHARES TR
874,CNYA,ISHARES TR
875,HEZU,ISHARES TR
876,REET,ISHARES TR
877,HEWG,ISHARES TR
878,UAE,ISHARES TR
879,QAT,ISHARES TR
880,HEFA,ISHARES TR
881,TFLO,ISHARES TR
882,ICSH,ISHARES TR
883,HEWJ,ISHARES TR
884,IBDO,ISHARES TR
885,IBDN,ISHARES TR
886,IBDQ,ISHARES TR
887,IBDP,ISHARES TR
888,IBDM,ISHARES TR
889,ICVT,ISHARES TR
890,SUSC,ISHARES TR
891,SUSB,ISHARES TR
892,IBML,ISHARES TR
893,IDEV,ISHARES TR
894,REM,ISHARES TR
895,IVLU,ISHARES TR
896,ISZE,ISHARES TR
897,SDG,ISHARES TR
898,DEFA,ISHARES TR
899,IAGG,ISHARES TR
900,IBMK,ISHARES TR
901,IBMJ,ISHARES TR
902,IBDR,ISHARES TR
903,MIDF,ISHARES TR
904,IBHC,ISHARES TR
905,IBHE,ISHARES TR
906,IBHB,ISHARES TR
907,IBHD,ISHARES TR
908,IBMO,ISHARES TR
909,IBMP,ISHARES TR
910,FOVL,ISHARES TR
911,EWJV,ISHARES TR
912,EWJE,ISHARES TR
913,IBMN,ISHARES TR
914,IBDT,ISHARES TR
915,EAGG,ISHARES TR
916,ESML,ISHARES TR
917,IBMM,ISHARES TR
918,IBDS,ISHARES TR
919,IBDU,ISHARES TR
920,STLG,ISHARES TR
921,XJR,ISHARES TR
922,XJH,ISHARES TR
923,XVV,ISHARES TR
924,GOVZ,ISHARES TR
925,IBTK,ISHARES TR
926,LDEM,ISHARES TR
927,EUSB,ISHARES TR
928,EAOA,ISHARES TR
929,EAOR,ISHARES TR
930,EAOM,ISHARES TR
931,EAOK,ISHARES TR
932,IBTA,ISHARES TR
933,IBDV,ISHARES TR
934,DMXF,ISHARES TR
935,USXF,ISHARES TR
936,STSB,ISHARES TR
937,STMB,ISHARES TR
938,STLC,ISHARES TR
939,IBTB,ISHARES TR
